number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.9856117089648435,2026-04-27 16:38:21.837008,2026-04-27 16:38:27.417834,0 days 00:00:05.580826,0.6624074561769746,3.005575058716044,0.08960785365368121,10,2,687,0.0017073967431528124,2.915443189153755,0.8394633936788146,517,COMPLETE
1,0.9877882252821263,2026-04-27 16:38:27.418825,2026-04-27 16:38:28.388136,0 days 00:00:00.969311,0.6849356442713105,2.6237821581611893,0.1827602783178572,3,2,1121,0.00541524411940254,0.016480446427978974,0.9329770563201687,677,COMPLETE
2,0.9946517879438438,2026-04-27 16:38:28.388631,2026-04-27 16:38:29.953095,0 days 00:00:01.564464,0.7168578594140872,0.9983689107917987,0.06252287916406214,5,4,761,0.06672367170464209,1.3826232179369866,0.6557975442608167,760,COMPLETE
3,0.9921805412809169,2026-04-27 16:38:29.953697,2026-04-27 16:38:33.234423,0 days 00:00:03.280726,0.6682096494749166,4.041986740582305,0.011492999300221412,7,1,869,6.24513957474307,7.286653737491043,0.8430179407605753,868,COMPLETE
4,0.9833007864108219,2026-04-27 16:38:33.234982,2026-04-27 16:38:34.059390,0 days 00:00:00.824408,0.6488152939379115,1.2938999080000846,0.07766184280392888,3,5,596,0.0013726318898045872,4.33792069749094,0.7760609974958405,595,COMPLETE
5,0.994371934960823,2026-04-27 16:38:34.059855,2026-04-27 16:38:36.229077,0 days 00:00:02.169222,0.6739417822102108,4.474136752138244,0.04749239763680407,5,10,1061,1.2604664585649463,5.727904470799624,0.8186841117373118,1058,COMPLETE
6,0.9866073927759078,2026-04-27 16:38:36.230290,2026-04-27 16:38:46.430191,0 days 00:00:10.199901,0.6180909155642152,4.143687545759647,0.01303561122512888,10,4,977,0.03586816498627549,0.01217295809836997,0.678393144967658,976,COMPLETE
7,0.9950263840458882,2026-04-27 16:38:46.430788,2026-04-27 16:38:48.038422,0 days 00:00:01.607634,0.9208787923016158,0.993578407670862,0.05082341959721458,5,1,664,8.862326508576256,1.227380098785297,0.6563696899899051,663,COMPLETE
8,0.9937547644197333,2026-04-27 16:38:48.039303,2026-04-27 16:38:50.166455,0 days 00:00:02.127152,0.9085081386743783,4.315517129377968,0.08310795711416077,9,1,207,0.02715581955282941,0.0029072088906598446,0.8916028672163949,206,COMPLETE
9,0.9918466122254435,2026-04-27 16:38:50.167014,2026-04-27 16:38:52.057689,0 days 00:00:01.890675,0.7300733288106988,2.3610746258097466,0.012097379927033842,5,8,1010,0.3550012525851162,3.538758864779242,0.7243929286862648,1009,COMPLETE
10,0.9964028290183893,2026-04-27 16:38:52.058146,2026-04-27 16:38:57.223561,0 days 00:00:05.165415,0.9924283304357215,0.1989980303850737,0.02579364481890643,7,7,1429,7.801013744480624,0.3135697131356357,0.6071847502459278,1423,COMPLETE
11,0.9962979568685355,2026-04-27 16:38:57.224077,2026-04-27 16:39:02.515376,0 days 00:00:05.291299,0.9962928066797128,0.023367853513869802,0.023807634312747353,7,7,1495,7.392218112989306,0.29163991155219904,0.6097259194088174,1492,COMPLETE
12,0.9963062287213301,2026-04-27 16:39:02.516211,2026-04-27 16:39:07.604585,0 days 00:00:05.088374,0.9988599342221308,0.015535997573864957,0.023968552236191435,7,7,1458,1.7564221651730834,0.15055494946272555,0.6050785460502632,1457,COMPLETE
13,0.9961717141500706,2026-04-27 16:39:07.605469,2026-04-27 16:39:13.436960,0 days 00:00:05.831491,0.994373858677548,0.09146016363196706,0.02632669061931297,8,7,1495,1.472396953951957,0.1367413775380527,0.6007517500837968,1173,COMPLETE
14,0.9950430119973931,2026-04-27 16:39:13.438027,2026-04-27 16:39:18.899504,0 days 00:00:05.461477,0.8544995524123912,1.690761562704609,0.030594503962742933,8,9,1258,1.47313390302059,0.32973231790647084,0.9984067957444854,1191,COMPLETE
15,0.9955023038209262,2026-04-27 16:39:18.900360,2026-04-27 16:39:22.353873,0 days 00:00:03.453513,0.9258360514720573,0.5221658706868325,0.018475598271309936,6,6,1298,0.342575302782494,0.024484224687182886,0.7495910822966338,1297,COMPLETE
16,0.9952839197790072,2026-04-27 16:39:22.354458,2026-04-27 16:39:28.054805,0 days 00:00:05.700347,0.7926625480650832,1.7919514239527097,0.03667604998501824,8,8,1337,0.4007273764691191,0.05940843160320308,0.711813965229152,1335,COMPLETE
17,0.9936596815426276,2026-04-27 16:39:28.055695,2026-04-27 16:39:29.395303,0 days 00:00:01.339608,0.9614798862418208,0.6122133140147434,0.01836025878844076,6,6,477,2.7307290386969307,0.6016583870353303,0.6435360383568566,476,COMPLETE
18,0.9956266068109888,2026-04-27 16:39:29.395851,2026-04-27 16:39:35.977320,0 days 00:00:06.581469,0.8461297094829994,0.28977206886192003,0.01844482500231795,9,10,1180,3.349519464316377,0.07449029925617401,0.6001561242598221,1179,COMPLETE
19,0.996412279441502,2026-04-27 16:39:35.977858,2026-04-27 16:39:39.694240,0 days 00:00:03.716382,0.8807346971597249,3.0584231228044856,0.03625216186983031,7,8,1403,0.16405674907029952,0.004767888795794931,0.7006088225006014,1084,COMPLETE
20,0.9929671771100952,2026-04-27 16:39:39.694874,2026-04-27 16:39:40.831689,0 days 00:00:01.136815,0.8651250666290947,3.5835953820045923,0.13121025882778947,4,9,1339,0.01096217979111255,0.0011129709953152695,0.7030736086418536,734,COMPLETE
21,0.9961152427065177,2026-04-27 16:39:40.832351,2026-04-27 16:39:46.036766,0 days 00:00:05.204415,0.9492863635333391,3.314251335683668,0.03386002588730578,7,7,1462,0.20950667116187838,0.19359916357092638,0.6368279681088672,1459,COMPLETE
22,0.9956732537125444,2026-04-27 16:39:46.037387,2026-04-27 16:39:49.532709,0 days 00:00:03.495322,0.7920778229786263,4.851899024509025,0.02215958063271366,6,8,1410,0.843265926332142,0.040187775532239844,0.6837460832143623,1409,COMPLETE
23,0.995861546295417,2026-04-27 16:39:49.533741,2026-04-27 16:39:53.982368,0 days 00:00:04.448627,0.885326116646685,1.915369178054268,0.04362341393227641,7,5,1222,0.17212787368523835,0.0042399887892659565,0.7725617027421462,1220,COMPLETE
24,0.996328792920739,2026-04-27 16:39:53.983492,2026-04-27 16:40:00.737360,0 days 00:00:06.753868,0.9693997538611994,2.4123779670268197,0.015274649933492347,8,9,1384,3.3209366108450884,0.006828434801220271,0.631967247729737,1383,COMPLETE
25,0.9956461849667398,2026-04-27 16:40:00.737877,2026-04-27 16:40:10.718025,0 days 00:00:09.980148,0.958292709675147,2.424718156523094,0.014473525335316996,9,9,1365,3.642442990050987,0.00499681545862005,0.7399878501884599,1364,COMPLETE
26,0.9956121742179198,2026-04-27 16:40:10.718645,2026-04-27 16:40:16.141312,0 days 00:00:05.422667,0.8332289001509012,3.653085503216601,0.030452368309804294,8,9,1199,0.5809107370953273,0.0012627412886924531,0.6846387655019044,1198,COMPLETE
27,0.995585866485733,2026-04-27 16:40:16.141859,2026-04-27 16:40:21.600770,0 days 00:00:05.458911,0.8912101550266426,3.0474673510374766,0.010186846615765908,8,8,926,3.9437336195797,0.009340038645727015,0.6355139282105486,925,COMPLETE
28,0.9958727879406359,2026-04-27 16:40:21.601314,2026-04-27 16:40:29.710976,0 days 00:00:08.109662,0.9650429427240932,2.1422620548152396,0.014578792076668613,9,10,1126,0.09672312576884051,0.002072458030959713,0.6730532436078094,1125,COMPLETE
29,0.9935327360806108,2026-04-27 16:40:29.711733,2026-04-27 16:40:39.256428,0 days 00:00:09.544695,0.814872021784478,2.8919421571324584,0.03928163115163764,10,6,1381,0.004875829652060877,0.006225007905181847,0.6306373357411683,1005,COMPLETE
30,0.9958105095500257,2026-04-27 16:40:39.257587,2026-04-27 16:40:43.015130,0 days 00:00:03.757543,0.9319308934092683,1.3052217894731053,0.059205431803018356,6,8,1276,0.8224195504837593,0.03074690268175315,0.7078571406779994,1274,COMPLETE
31,0.9962168325529114,2026-04-27 16:40:43.015864,2026-04-27 16:40:48.677207,0 days 00:00:05.661343,0.9830336810305442,0.6453997912271832,0.021356128532265813,7,7,1411,2.5377793231536567,0.6792792158993183,0.6222190993974472,1408,COMPLETE
