number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.9917377741146881,2026-04-27 16:45:19.060529,2026-04-27 16:45:20.267808,0 days 00:00:01.207279,0.6624074561769746,3.005575058716044,0.08960785365368121,10,2,687,0.0017073967431528124,2.915443189153755,0.8394633936788146,220,COMPLETE
1,0.9991977763034008,2026-04-27 16:45:20.268340,2026-04-27 16:45:20.577281,0 days 00:00:00.308941,0.6849356442713105,2.6237821581611893,0.1827602783178572,3,2,1121,0.00541524411940254,0.016480446427978974,0.9329770563201687,271,COMPLETE
2,0.9995106526951534,2026-04-27 16:45:20.577853,2026-04-27 16:45:21.580683,0 days 00:00:01.002830,0.7168578594140872,0.9983689107917987,0.06252287916406214,5,4,761,0.06672367170464209,1.3826232179369866,0.6557975442608167,747,COMPLETE
3,0.9990063210979375,2026-04-27 16:45:21.581282,2026-04-27 16:45:24.205911,0 days 00:00:02.624629,0.6682096494749166,4.041986740582305,0.011492999300221412,7,1,869,6.24513957474307,7.286653737491043,0.8430179407605753,868,COMPLETE
4,0.999618642863657,2026-04-27 16:45:24.206742,2026-04-27 16:45:24.824665,0 days 00:00:00.617923,0.6488152939379115,1.2938999080000846,0.07766184280392888,3,5,596,0.0013726318898045872,4.33792069749094,0.7760609974958405,594,COMPLETE
5,0.9994486989332484,2026-04-27 16:45:24.825141,2026-04-27 16:45:25.627716,0 days 00:00:00.802575,0.6739417822102108,4.474136752138244,0.04749239763680407,5,10,1061,1.2604664585649463,5.727904470799624,0.8186841117373118,603,COMPLETE
6,0.994252261602704,2026-04-27 16:45:25.628256,2026-04-27 16:45:31.792919,0 days 00:00:06.164663,0.6180909155642152,4.143687545759647,0.01303561122512888,10,4,977,0.03586816498627549,0.01217295809836997,0.678393144967658,976,COMPLETE
7,0.9995164858711149,2026-04-27 16:45:31.793554,2026-04-27 16:45:32.979155,0 days 00:00:01.185601,0.9208787923016158,0.993578407670862,0.05082341959721458,5,1,664,8.862326508576256,1.227380098785297,0.6563696899899051,663,COMPLETE
8,0.997603427361215,2026-04-27 16:45:32.979946,2026-04-27 16:45:33.902558,0 days 00:00:00.922612,0.9085081386743783,4.315517129377968,0.08310795711416077,9,1,207,0.02715581955282941,0.0029072088906598446,0.8916028672163949,202,COMPLETE
9,0.9995228281468175,2026-04-27 16:45:33.903274,2026-04-27 16:45:35.816079,0 days 00:00:01.912805,0.7300733288106988,2.3610746258097466,0.012097379927033842,5,8,1010,0.3550012525851162,3.538758864779242,0.7243929286862648,1009,COMPLETE
10,0.9997303216180687,2026-04-27 16:45:35.816863,2026-04-27 16:45:37.434406,0 days 00:00:01.617543,0.8144754354791038,0.23696217751263204,0.025137344588454093,3,7,1429,0.0011494954687780974,0.2846091629475052,0.751180619986081,1428,COMPLETE
11,0.9997241925939082,2026-04-27 16:45:37.435177,2026-04-27 16:45:39.111759,0 days 00:00:01.676582,0.814249705614196,0.023981518406832686,0.023374412206397632,3,7,1495,0.0011068458067111067,0.2269506205467708,0.7482501209054793,1494,COMPLETE
