algorithm,target,auc_observed,auc_threshold,passes,r2_observed,r2_threshold
mlp_joint,energy_margin_raw_pct,,,True,0.9970817313523294,0.95
random_forest,energy_margin_raw_pct,,,True,0.980820194404289,0.95
ridge,energy_margin_raw_pct,,,False,0.6648293945950454,0.95
xgboost,energy_margin_raw_pct,,,True,0.9948666982593823,0.95
logreg,motor_torque_ok,0.9852642879340057,0.9,True,,
xgboost,motor_torque_ok,0.9831821905811227,0.9,True,,
mlp_joint,range_km,,,True,0.9990461488776342,0.95
random_forest,range_km,,,True,0.9981428454431042,0.95
ridge,range_km,,,False,0.7817565312990447,0.95
xgboost,range_km,,,True,0.998250518399816,0.95
mlp_joint,slope_capability_deg,,,True,0.998402547826109,0.85
random_forest,slope_capability_deg,,,True,0.9560004351585658,0.85
ridge,slope_capability_deg,,,True,0.9194158012950046,0.85
xgboost,slope_capability_deg,,,True,0.9916632601452711,0.85
mlp_joint,total_mass_kg,,,True,0.9996975473572483,0.85
random_forest,total_mass_kg,,,True,0.9952512112143466,0.85
ridge,total_mass_kg,,,True,0.9971008701201426,0.85
xgboost,total_mass_kg,,,True,0.9994345698237985,0.85
