number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.9897202736641553,2026-04-26 09:08:56.423051,2026-04-26 09:08:56.791986,0 days 00:00:00.368935,0.6624074561769746,3.005575058716044,0.08960785365368121,10,2,687,0.0017073967431528124,2.915443189153755,0.8394633936788146,133,COMPLETE
1,0.9878669784359574,2026-04-26 09:08:56.792027,2026-04-26 09:08:56.993830,0 days 00:00:00.201803,0.6849356442713105,2.6237821581611893,0.1827602783178572,3,2,1121,0.00541524411940254,0.016480446427978974,0.9329770563201687,92,COMPLETE
2,0.9912791201177796,2026-04-26 09:08:56.993859,2026-04-26 09:08:57.514935,0 days 00:00:00.521076,0.7168578594140872,0.9983689107917987,0.06252287916406214,5,4,761,0.06672367170464209,1.3826232179369866,0.6557975442608167,183,COMPLETE
3,0.9870182731445397,2026-04-26 09:08:57.514963,2026-04-26 09:08:59.067102,0 days 00:00:01.552139,0.6682096494749166,4.041986740582305,0.011492999300221412,7,1,869,6.24513957474307,7.286653737491043,0.8430179407605753,849,COMPLETE
4,0.9901879276002424,2026-04-26 09:08:59.067132,2026-04-26 09:08:59.485210,0 days 00:00:00.418078,0.6488152939379115,1.2938999080000846,0.07766184280392888,3,5,596,0.0013726318898045872,4.33792069749094,0.7760609974958405,203,COMPLETE
5,0.9854247856586127,2026-04-26 09:08:59.485239,2026-04-26 09:09:00.010236,0 days 00:00:00.524997,0.6739417822102108,4.474136752138244,0.04749239763680407,5,10,1061,1.2604664585649463,5.727904470799624,0.8186841117373118,287,COMPLETE
6,0.9905516584394215,2026-04-26 09:09:00.010269,2026-04-26 09:09:01.399146,0 days 00:00:01.388877,0.6180909155642152,4.143687545759647,0.01303561122512888,10,4,977,0.03586816498627549,0.01217295809836997,0.678393144967658,589,COMPLETE
7,0.9865592794665282,2026-04-26 09:09:01.399177,2026-04-26 09:09:01.864665,0 days 00:00:00.465488,0.9208787923016158,0.993578407670862,0.05082341959721458,5,1,664,8.862326508576256,1.227380098785297,0.6563696899899051,197,COMPLETE
8,0.9894344851476575,2026-04-26 09:09:01.864700,2026-04-26 09:09:02.113482,0 days 00:00:00.248782,0.9085081386743783,4.315517129377968,0.08310795711416077,9,1,207,0.02715581955282941,0.0029072088906598446,0.8916028672163949,93,COMPLETE
9,0.9892352992119166,2026-04-26 09:09:02.113515,2026-04-26 09:09:04.233660,0 days 00:00:02.120145,0.7300733288106988,2.3610746258097466,0.012097379927033842,5,8,1010,0.3550012525851162,3.538758864779242,0.7243929286862648,1006,COMPLETE
10,0.9900840045033342,2026-04-26 09:09:04.233690,2026-04-26 09:09:05.193454,0 days 00:00:00.959764,0.8010124870699186,0.19953767859742444,0.025137344588454093,7,7,1429,0.16172672993694912,0.3135697131356357,0.6071847502459278,317,COMPLETE
11,0.9904217545682861,2026-04-26 09:09:05.193483,2026-04-26 09:09:06.164830,0 days 00:00:00.971347,0.7737425087025646,3.374753975323507,0.020385617014060563,9,4,363,0.027923946595865792,0.05110333258151402,0.6897950758295398,356,COMPLETE
12,0.9912964406339309,2026-04-26 09:09:06.164863,2026-04-26 09:09:07.018385,0 days 00:00:00.853522,0.6083722002970473,1.8181969906267326,0.027348631804267713,6,4,1313,0.02978144806719271,0.001362522051403353,0.6057889631697373,297,COMPLETE
13,0.9908807482462976,2026-04-26 09:09:07.018414,2026-04-26 09:09:07.854431,0 days 00:00:00.836017,0.601094085746476,1.653511345867124,0.029082437581145988,6,6,1495,0.009251661446922297,0.33980677317623076,0.600756108679641,292,COMPLETE
14,0.9914869663115962,2026-04-26 09:09:07.854470,2026-04-26 09:09:08.594519,0 days 00:00:00.740049,0.8524337374155861,0.2501687600111725,0.03384936402995744,4,4,1284,0.46744885195241986,0.0030447350379333962,0.9984067957444854,321,COMPLETE
15,0.9920325625703645,2026-04-26 09:09:08.594550,2026-04-26 09:09:09.357095,0 days 00:00:00.762545,0.8561711433906498,0.27265425491834216,0.03414174768689273,4,3,1315,0.6579888664279883,0.0010289537197003297,0.9750244637464092,331,COMPLETE
16,0.9917727548280938,2026-04-26 09:09:09.357128,2026-04-26 09:09:10.383975,0 days 00:00:01.026847,0.8517314664119261,0.06589607190461777,0.03364971627101807,4,3,1243,1.1236056908407035,0.004165969490447982,0.9946602206724103,460,COMPLETE
17,0.9929418896683121,2026-04-26 09:09:10.384005,2026-04-26 09:09:11.359827,0 days 00:00:00.975822,0.8548945222247962,0.08711596622111531,0.03805818581270537,4,3,1209,1.8036085105045714,0.010106912234462565,0.9859563407240175,429,COMPLETE
18,0.9902658699229236,2026-04-26 09:09:11.359857,2026-04-26 09:09:12.754599,0 days 00:00:01.394742,0.964052353357894,0.6901204221625146,0.01789315282355757,4,6,1149,2.5882442972592696,0.014227887337510504,0.9506399189233329,655,COMPLETE
19,0.9888022863081318,2026-04-26 09:09:12.754627,2026-04-26 09:09:13.041877,0 days 00:00:00.287250,0.8464287290536378,0.5272324546580939,0.13939811999819274,3,3,1319,2.169795421942372,0.04705614323574571,0.9038695221819271,128,COMPLETE
20,0.9889668312115701,2026-04-26 09:09:13.041907,2026-04-26 09:09:13.498859,0 days 00:00:00.456952,0.9980102677005851,4.969213925248543,0.04082978465415215,8,2,882,0.39301692754993006,0.0011129709953152695,0.9627750252946494,223,COMPLETE
21,0.9907248636009355,2026-04-26 09:09:13.498893,2026-04-26 09:09:14.130820,0 days 00:00:00.631927,0.861276597906331,0.028235029777896263,0.04091170420575357,4,3,1208,0.9114176526804814,0.005295490984097314,0.9955588884905412,266,COMPLETE
22,0.9904910366328916,2026-04-26 09:09:14.130862,2026-04-26 09:09:14.938509,0 days 00:00:00.807647,0.8098168933666959,0.6194124856938056,0.03461013436721178,4,3,1398,3.965720284185305,0.005452101139328885,0.8956425878824852,388,COMPLETE
23,0.990984671343206,2026-04-26 09:09:14.938543,2026-04-26 09:09:16.408509,0 days 00:00:01.469966,0.8992992190760443,1.5738728941972324,0.019740501099941955,3,5,1276,0.912684969808142,0.00203452022472562,0.9641403124691971,709,COMPLETE
24,0.9919026586992293,2026-04-26 09:09:16.408571,2026-04-26 09:09:17.098375,0 days 00:00:00.689804,0.8785444169168306,0.4751058689437493,0.05641112953476154,4,3,1166,0.12940089441475253,0.0070915335489148395,0.9221866237574452,299,COMPLETE
25,0.9914523252792934,2026-04-26 09:09:17.098403,2026-04-26 09:09:17.488523,0 days 00:00:00.390120,0.8844628631050795,0.9624570186096124,0.05922252819466455,6,2,1115,0.1544717902529222,0.028219836828237685,0.9236082625212404,105,COMPLETE
26,0.9899714211483502,2026-04-26 09:09:17.488562,2026-04-26 09:09:17.848024,0 days 00:00:00.359462,0.9333859413229463,2.0977582652532747,0.11962373573713748,5,5,1384,0.0945768654400481,0.008248528172103605,0.8621483050429035,196,COMPLETE
27,0.9902918506971508,2026-04-26 09:09:17.848063,2026-04-26 09:09:18.338234,0 days 00:00:00.490171,0.7764228969719547,0.5145642621218081,0.061737794449981856,4,8,980,0.22427123004963204,0.13041576111828995,0.9504655487120427,198,COMPLETE
28,0.989806876244912,2026-04-26 09:09:18.338269,2026-04-26 09:09:18.690007,0 days 00:00:00.351738,0.8255676711291884,1.220222493850477,0.10601465908051495,3,3,1189,0.5478540272067548,0.001871861680958325,0.7707095048903883,160,COMPLETE
29,0.9910539534078115,2026-04-26 09:09:18.690041,2026-04-26 09:09:19.009257,0 days 00:00:00.319216,0.8801532120630929,3.0627065177966823,0.06826895633473597,6,2,1487,0.06559741713759619,0.0228195526381444,0.869877397288666,122,COMPLETE
30,0.9920239023122888,2026-04-26 09:09:19.009286,2026-04-26 09:09:19.599237,0 days 00:00:00.589951,0.9415025604559947,0.4288585941115983,0.04883824952380559,5,1,1060,2.2206177259714406,0.09979290986738282,0.9173098732701946,221,COMPLETE
31,0.9925261972806789,2026-04-26 09:09:19.599273,2026-04-26 09:09:20.185295,0 days 00:00:00.586022,0.9540654319956814,0.5003745004264144,0.04803121001534646,5,1,1056,2.9643584064289907,0.08081397412257908,0.9215852930649903,230,COMPLETE
32,0.9912184983112496,2026-04-26 09:09:20.185328,2026-04-26 09:09:20.774678,0 days 00:00:00.589350,0.9496580490865276,0.8234365432386084,0.04278811556316359,5,1,1098,2.188982965225185,0.13677664677138013,0.9655438495475015,254,COMPLETE
33,0.9889928119857971,2026-04-26 09:09:20.774705,2026-04-26 09:09:21.612736,0 days 00:00:00.838031,0.9537254177957226,1.3069614480474083,0.023813216104353073,5,2,787,4.7236444553854255,0.23201650867601933,0.9276175892698693,364,COMPLETE
34,0.9903005109552264,2026-04-26 09:09:21.612780,2026-04-26 09:09:22.371345,0 days 00:00:00.758565,0.9795279711273525,0.2695082171765565,0.03686029133136165,6,1,929,3.193114152268998,0.06436685714104252,0.9748165957424332,257,COMPLETE
35,0.9915302676019746,2026-04-26 09:09:22.371384,2026-04-26 09:09:22.872775,0 days 00:00:00.501391,0.9259267563169655,0.35096656049558383,0.07308625781958332,7,1,1054,1.5788532060397789,0.7344908405757311,0.8649243849802012,133,COMPLETE
36,0.9896509915995496,2026-04-26 09:09:22.872806,2026-04-26 09:09:23.459132,0 days 00:00:00.586326,0.9893323182254486,0.022795364575127014,0.05192401542783062,3,2,822,8.310153222984066,0.08223350683202375,0.9419102801808175,305,COMPLETE
37,0.99003204295488,2026-04-26 09:09:23.459161,2026-04-26 09:09:25.168387,0 days 00:00:01.709226,0.7682748394588698,1.2431662991680994,0.015196271639864074,5,2,1048,5.2843049108113815,0.028314451585962498,0.8153292230665693,724,COMPLETE
38,0.9907681648913137,2026-04-26 09:09:25.168415,2026-04-26 09:09:25.603639,0 days 00:00:00.435224,0.8200305172849808,0.8177254711835592,0.047116829755021024,4,1,926,0.0026859354871970613,0.501731016895004,0.9050002374935967,159,COMPLETE
39,0.9885857798562396,2026-04-26 09:09:25.603672,2026-04-26 09:09:25.806795,0 days 00:00:00.203123,0.9391439124434133,3.4985771797817087,0.0947641946000852,5,1,1342,0.6889920508513377,0.13309364512323912,0.9801232058216688,67,COMPLETE
40,0.9880315233393956,2026-04-26 09:09:25.806824,2026-04-26 09:09:25.965686,0 days 00:00:00.158862,0.9066699592956152,2.5675665298436763,0.1984756261353009,3,3,683,1.5953915308772222,0.010516562281982006,0.8436473264896196,55,COMPLETE
41,0.9903611327617562,2026-04-26 09:09:25.965717,2026-04-26 09:09:26.471964,0 days 00:00:00.506247,0.8791797317116984,0.5179622338590174,0.05403571442928582,4,3,1208,3.2876968219386273,0.02026159233207154,0.9209316429646405,216,COMPLETE
42,0.9898934788256689,2026-04-26 09:09:26.471993,2026-04-26 09:09:27.055299,0 days 00:00:00.583306,0.8306969098356706,1.0643317610507796,0.057349673134974855,4,10,1139,0.26440198254672653,0.006546165508116077,0.9440897454439566,254,COMPLETE
43,0.9911925175370225,2026-04-26 09:09:27.055341,2026-04-26 09:09:27.897981,0 days 00:00:00.842640,0.8954495887929053,0.3449803233214951,0.02953131043441895,5,4,1188,0.7522326346179512,0.03918480380937039,0.8857243631710974,310,COMPLETE
