number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.9884571050602485,2026-04-26 08:58:33.466148,2026-04-26 08:58:34.341368,0 days 00:00:00.875220,0.6624074561769746,3.005575058716044,0.08960785365368121,10,2,687,0.0017073967431528124,2.915443189153755,0.8394633936788146,261,COMPLETE
1,0.9904514336817756,2026-04-26 08:58:34.341410,2026-04-26 08:58:35.587864,0 days 00:00:01.246454,0.6849356442713105,2.6237821581611893,0.1827602783178572,3,2,1121,0.00541524411940254,0.016480446427978974,0.9329770563201687,829,COMPLETE
2,0.9969064874766741,2026-04-26 08:58:35.587963,2026-04-26 08:58:37.419738,0 days 00:00:01.831775,0.7168578594140872,0.9983689107917987,0.06252287916406214,5,4,761,0.06672367170464209,1.3826232179369866,0.6557975442608167,758,COMPLETE
3,0.996922095796247,2026-04-26 08:58:37.419770,2026-04-26 08:58:40.492608,0 days 00:00:03.072838,0.6682096494749166,4.041986740582305,0.011492999300221412,7,1,869,6.24513957474307,7.286653737491043,0.8430179407605753,868,COMPLETE
4,0.9835042643874311,2026-04-26 08:58:40.492643,2026-04-26 08:58:41.519571,0 days 00:00:01.026928,0.6488152939379115,1.2938999080000846,0.07766184280392888,3,5,596,0.0013726318898045872,4.33792069749094,0.7760609974958405,591,COMPLETE
5,0.9948769122551799,2026-04-26 08:58:41.519601,2026-04-26 08:58:42.536336,0 days 00:00:01.016735,0.6739417822102108,4.474136752138244,0.04749239763680407,5,10,1061,1.2604664585649463,5.727904470799624,0.8186841117373118,505,COMPLETE
6,0.9890860399532168,2026-04-26 08:58:42.536369,2026-04-26 08:58:47.140321,0 days 00:00:04.603952,0.6180909155642152,4.143687545759647,0.01303561122512888,10,4,977,0.03586816498627549,0.01217295809836997,0.678393144967658,976,COMPLETE
7,0.9974928285487048,2026-04-26 08:58:47.140350,2026-04-26 08:58:48.698177,0 days 00:00:01.557827,0.9208787923016158,0.993578407670862,0.05082341959721458,5,1,664,8.862326508576256,1.227380098785297,0.6563696899899051,663,COMPLETE
8,0.9966694332597313,2026-04-26 08:58:48.698209,2026-04-26 08:58:49.240285,0 days 00:00:00.542076,0.9085081386743783,4.315517129377968,0.08310795711416077,9,1,207,0.02715581955282941,0.0029072088906598446,0.8916028672163949,102,COMPLETE
9,0.9961747409099194,2026-04-26 08:58:49.240315,2026-04-26 08:58:51.798155,0 days 00:00:02.557840,0.7300733288106988,2.3610746258097466,0.012097379927033842,5,8,1010,0.3550012525851162,3.538758864779242,0.7243929286862648,1009,COMPLETE
