number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.9745090337824589,2026-04-26 09:04:17.719860,2026-04-26 09:04:18.724654,0 days 00:00:01.004794,0.6624074561769746,3.005575058716044,0.08960785365368121,10,2,687,0.0017073967431528124,2.915443189153755,0.8394633936788146,237,COMPLETE
1,0.9869177308306358,2026-04-26 09:04:18.724685,2026-04-26 09:04:19.424122,0 days 00:00:00.699437,0.6849356442713105,2.6237821581611893,0.1827602783178572,3,2,1121,0.00541524411940254,0.016480446427978974,0.9329770563201687,443,COMPLETE
2,0.9926402336564817,2026-04-26 09:04:19.424152,2026-04-26 09:04:21.239419,0 days 00:00:01.815267,0.7168578594140872,0.9983689107917987,0.06252287916406214,5,4,761,0.06672367170464209,1.3826232179369866,0.6557975442608167,758,COMPLETE
3,0.9892935552845279,2026-04-26 09:04:21.239452,2026-04-26 09:04:24.379882,0 days 00:00:03.140430,0.6682096494749166,4.041986740582305,0.011492999300221412,7,1,869,6.24513957474307,7.286653737491043,0.8430179407605753,868,COMPLETE
4,0.9864382421515048,2026-04-26 09:04:24.379929,2026-04-26 09:04:25.391661,0 days 00:00:01.011732,0.6488152939379115,1.2938999080000846,0.07766184280392888,3,5,596,0.0013726318898045872,4.33792069749094,0.7760609974958405,595,COMPLETE
5,0.9899648101884291,2026-04-26 09:04:25.391700,2026-04-26 09:04:26.565838,0 days 00:00:01.174138,0.6739417822102108,4.474136752138244,0.04749239763680407,5,10,1061,1.2604664585649463,5.727904470799624,0.8186841117373118,557,COMPLETE
6,0.9791223554169389,2026-04-26 09:04:26.565880,2026-04-26 09:04:31.438133,0 days 00:00:04.872253,0.6180909155642152,4.143687545759647,0.01303561122512888,10,4,977,0.03586816498627549,0.01217295809836997,0.678393144967658,975,COMPLETE
7,0.9921728296691881,2026-04-26 09:04:31.438164,2026-04-26 09:04:33.113837,0 days 00:00:01.675673,0.9208787923016158,0.993578407670862,0.05082341959721458,5,1,664,8.862326508576256,1.227380098785297,0.6563696899899051,663,COMPLETE
8,0.9857004089796502,2026-04-26 09:04:33.113866,2026-04-26 09:04:33.871836,0 days 00:00:00.757970,0.9085081386743783,4.315517129377968,0.08310795711416077,9,1,207,0.02715581955282941,0.0029072088906598446,0.8916028672163949,177,COMPLETE
9,0.9882613737660425,2026-04-26 09:04:33.871872,2026-04-26 09:04:36.418464,0 days 00:00:02.546592,0.7300733288106988,2.3610746258097466,0.012097379927033842,5,8,1010,0.3550012525851162,3.538758864779242,0.7243929286862648,1009,COMPLETE
10,0.993914854956354,2026-04-26 09:04:36.418494,2026-04-26 09:04:41.699619,0 days 00:00:05.281125,0.8010124870699186,0.19953767859742444,0.025137344588454093,7,7,1429,0.16172672993694912,0.3135697131356357,0.6071847502459278,1428,COMPLETE
11,0.9940405416948088,2026-04-26 09:04:41.699653,2026-04-26 09:04:47.414891,0 days 00:00:05.715238,0.814249705614196,0.023376407707150076,0.023374412206397632,7,7,1495,0.1818011123105647,0.29163991155219904,0.6097132653988919,1494,COMPLETE
12,0.9938629739210605,2026-04-26 09:04:47.414921,2026-04-26 09:04:52.840950,0 days 00:00:05.426029,0.8374709757162002,0.015536082439507623,0.023662641128950918,7,7,1458,0.3240199726509764,0.15055494946272555,0.6050785532559382,1457,COMPLETE
13,0.9931546816362489,2026-04-26 09:04:52.840982,2026-04-26 09:04:59.842465,0 days 00:00:07.001483,0.8089266477456656,0.09190158091780945,0.025851586556092866,8,7,1495,0.3742061115681797,0.19815924679531846,0.601375542364388,1493,COMPLETE
14,0.9891530876816509,2026-04-26 09:04:59.842507,2026-04-26 09:05:01.664395,0 days 00:00:01.821888,0.9978298864744675,1.6951701876738163,0.029991169691550097,8,9,1273,0.012239242208044043,0.39960471328550046,0.9984067957444854,437,COMPLETE
15,0.9930417690577622,2026-04-26 09:05:01.664427,2026-04-26 09:05:05.604656,0 days 00:00:03.940229,0.7640344619104537,0.5242362544615031,0.018199663981438467,6,6,1298,0.15269321281630674,0.043032344697271456,0.7190852606077679,1297,COMPLETE
16,0.9909410303963833,2026-04-26 09:05:05.604690,2026-04-26 09:05:07.493067,0 days 00:00:01.888377,0.85572335143234,1.7919514239527097,0.03592564368681243,8,8,1270,1.4390756211913067,0.6741831816019791,0.73989548485641,624,COMPLETE
17,0.9934905220693342,2026-04-26 09:05:07.493104,2026-04-26 09:05:11.698699,0 days 00:00:04.205595,0.7796496200537952,0.6145509271093019,0.018072696289849012,6,6,1377,1.802913216152517,0.09742667005770335,0.6383747570401693,1376,COMPLETE
18,0.9903259658762057,2026-04-26 09:05:11.698740,2026-04-26 09:05:14.704154,0 days 00:00:03.005414,0.8823261192889769,0.2910450725511422,0.01844482500231795,9,10,466,0.12413964666572164,0.045213030893208356,0.6924106883472467,465,COMPLETE
19,0.9913792220062745,2026-04-26 09:05:14.704199,2026-04-26 09:05:16.879440,0 days 00:00:02.175241,0.9659268879092618,1.7228608903320854,0.03566563669458417,7,8,1191,0.011361146554558872,0.3724447166632406,0.7727431143998708,969,COMPLETE
20,0.9892602759172373,2026-04-26 09:05:16.879477,2026-04-26 09:05:18.100586,0 days 00:00:01.221109,0.8163894611332052,3.5835953820045923,0.13121025882778947,4,5,1402,0.6524301568238899,0.0011129709953152695,0.6318306294988223,820,COMPLETE
21,0.9940835953531569,2026-04-26 09:05:18.100619,2026-04-26 09:05:23.776719,0 days 00:00:05.676100,0.8454484517444274,0.026658298241757243,0.02506523111038057,7,7,1464,0.22460965618361847,0.1326970640639371,0.6053391488974321,1462,COMPLETE
22,0.993766261743067,2026-04-26 09:05:23.776753,2026-04-26 09:05:27.845028,0 days 00:00:04.068275,0.7658313612926888,0.6608413857851274,0.02172668393631921,6,7,1361,0.07272738925806131,0.09547864805618865,0.6180582241551984,1360,COMPLETE
23,0.9926229657682537,2026-04-26 09:05:27.845070,2026-04-26 09:05:30.387757,0 days 00:00:02.542687,0.8662186233050861,1.081034101343668,0.03468232645951027,7,9,1181,0.26780785446833233,0.3468370703835046,0.6802210286121898,979,COMPLETE
24,0.9929037954650536,2026-04-26 09:05:30.387796,2026-04-26 09:05:36.083421,0 days 00:00:05.695625,0.826439213403869,0.4574862912805321,0.015028798156660582,8,6,1489,0.03637870451430539,0.03628294690625192,0.6512724702232536,1487,COMPLETE
25,0.9905347518066832,2026-04-26 09:05:36.083453,2026-04-26 09:05:43.914660,0 days 00:00:07.831207,0.7371627643035622,0.004669005126796175,0.027833836532836876,9,7,1340,0.7945460196966702,1.07146092389775,0.680840384797457,1337,COMPLETE
26,0.9927184183091108,2026-04-26 09:05:43.914689,2026-04-26 09:05:46.211455,0 days 00:00:02.296766,0.7932061314080823,1.4956155945864797,0.04136896739182518,6,9,1167,4.059568670622007,0.21347653467773176,0.6009696736755776,958,COMPLETE
27,0.9926967727518368,2026-04-26 09:05:46.211488,2026-04-26 09:05:49.563635,0 days 00:00:03.352147,0.8987024000994149,0.7863865858638471,0.02100376064343845,7,5,890,0.17134485028428156,0.012364917580511886,0.7068065827898746,889,COMPLETE
28,0.9914958128234841,2026-04-26 09:05:49.563668,2026-04-26 09:05:55.332256,0 days 00:00:05.768588,0.9411865489540031,2.2036482178667485,0.010107069990318372,8,8,1409,0.08564957362517367,0.07302807288495781,0.7559658359754495,1407,COMPLETE
29,0.9875212819036804,2026-04-26 09:05:55.332293,2026-04-26 09:05:58.260133,0 days 00:00:02.927840,0.8524023816041314,3.2909144965150063,0.029402052305562802,10,4,1242,0.7364466934430798,2.287461665842602,0.63813170638782,1023,COMPLETE
30,0.9928013436598733,2026-04-26 09:05:58.260187,2026-04-26 09:06:02.783834,0 days 00:00:04.523647,0.7558392497727843,0.2839319917507447,0.015056326214058346,6,3,1483,0.0031444603839233015,0.021499018942220522,0.8595849191581006,1482,COMPLETE
31,0.9938571636924187,2026-04-26 09:06:02.783864,2026-04-26 09:06:08.218010,0 days 00:00:05.434146,0.8360491926574954,0.006034039699118338,0.023876277756054578,7,7,1436,0.20608480387078768,0.23478195224704246,0.6037568391328633,1435,COMPLETE
32,0.9938373976641245,2026-04-26 09:06:08.218050,2026-04-26 09:06:13.476724,0 days 00:00:05.258674,0.8043389731433249,0.3309334828245887,0.022377326342305506,7,7,1497,0.4176205542653333,0.1693464784231519,0.6273574924883593,1496,COMPLETE
33,0.9931416979953769,2026-04-26 09:06:13.476764,2026-04-26 09:06:17.989298,0 days 00:00:04.512534,0.8375792834912558,0.8559962749584626,0.015936835162478145,7,6,1347,2.89984244160994,0.7023362334174109,0.6720641304220891,1344,COMPLETE
34,0.9893885303509623,2026-04-26 09:06:17.989333,2026-04-26 09:06:19.288474,0 days 00:00:01.299141,0.7055604968844478,2.8493470558228204,0.052547600148960566,8,8,1074,0.0554424511852801,0.12554204740804517,0.6572828717590837,458,COMPLETE
35,0.9931585097251444,2026-04-26 09:06:19.288531,2026-04-26 09:06:21.990802,0 days 00:00:02.702271,0.8783547221751054,1.1766861894091933,0.04117351849696343,6,7,1415,0.1220294026822969,0.5842769999309309,0.6190587964951377,1199,COMPLETE
36,0.9862203010933341,2026-04-26 09:06:21.990833,2026-04-26 09:06:22.460744,0 days 00:00:00.469911,0.7895404493031705,4.993204662796431,0.1882816905890439,5,6,1239,0.25777506692584123,2.066200719991522,0.6502076973659936,220,COMPLETE
37,0.9925662652626349,2026-04-26 09:06:22.460775,2026-04-26 09:06:25.743715,0 days 00:00:03.282940,0.8444739982005667,0.22590709671797896,0.03154737732765308,7,9,1124,0.019657285056471244,0.02388526885599158,0.9531291833577744,1044,COMPLETE
38,0.9888308872659929,2026-04-26 09:06:25.743743,2026-04-26 09:06:27.611499,0 days 00:00:01.867756,0.8178006447480122,0.529248900236569,0.06477167021889987,9,5,792,0.44989400018539893,0.07316527306069961,0.6190664051171613,524,COMPLETE
39,0.990308017815206,2026-04-26 09:06:27.611529,2026-04-26 09:06:29.462010,0 days 00:00:01.850481,0.8791592329666448,1.364124383087355,0.024230191742121272,8,8,367,0.04627786681132131,0.32770005174234423,0.7994318336768117,366,COMPLETE
40,0.9883296678556676,2026-04-26 09:06:29.462040,2026-04-26 09:06:31.475370,0 days 00:00:02.013330,0.9254829524535365,0.8417865698075089,0.0199663923844124,4,7,942,0.8936038830049318,0.14600775926309853,0.659666692123358,941,COMPLETE
41,0.9939748983876885,2026-04-26 09:06:31.475404,2026-04-26 09:06:36.942657,0 days 00:00:05.467253,0.8369190629677099,0.010723156159684746,0.02494288150792929,7,7,1438,0.24805610123109856,0.2580520752480695,0.6022979352730566,1436,COMPLETE
42,0.994012729026405,2026-04-26 09:06:36.942694,2026-04-26 09:06:42.357744,0 days 00:00:05.415050,0.7842227165465737,0.036657599329174076,0.026161242493681406,7,6,1435,0.096433717192244,0.9213530640899869,0.605638535416824,1434,COMPLETE
43,0.9937816731476539,2026-04-26 09:06:42.357781,2026-04-26 09:06:47.033682,0 days 00:00:04.675901,0.7715488055573728,0.32615845023350143,0.027754388997067413,7,6,1344,0.09232647364669826,1.4408375247810277,0.6327554758100523,1341,COMPLETE
44,0.9941557554230408,2026-04-26 09:06:47.033714,2026-04-26 09:06:51.078427,0 days 00:00:04.044713,0.740045843271518,0.20085909936457055,0.032901890028283726,6,4,1322,0.18848426367282575,0.8810537766887083,0.614999675718175,1321,COMPLETE
45,0.9937585751960583,2026-04-26 09:06:51.078463,2026-04-26 09:06:54.383825,0 days 00:00:03.305362,0.7063751127674298,0.6806831434149341,0.03371460002388489,6,3,1318,0.4898834476945564,0.9883074623995403,0.6955170776953116,1315,COMPLETE
46,0.9937674980047854,2026-04-26 09:06:54.383855,2026-04-26 09:06:57.969431,0 days 00:00:03.585576,0.7458600716361689,0.44922555129780756,0.041843776583726476,5,4,1432,0.19580204761903508,4.931603458294542,0.6429851993135641,1431,COMPLETE
47,0.9916729632703645,2026-04-26 09:06:57.969464,2026-04-26 09:06:59.874960,0 days 00:00:01.905496,0.6430665877040955,0.9126080421953959,0.1068474446635053,6,3,1228,0.06306971906167175,7.886260482731585,0.6196001267119495,807,COMPLETE
48,0.9936568276552823,2026-04-26 09:06:59.874991,2026-04-26 09:07:03.381787,0 days 00:00:03.506796,0.729807320967456,0.15643443992285588,0.06198210795782025,5,5,1389,0.2637258295819155,0.46812880515636884,0.6621643163668574,1387,COMPLETE
49,0.9880278390658409,2026-04-26 09:07:03.381824,2026-04-26 09:07:06.294849,0 days 00:00:02.913025,0.7844534937851978,0.4819964664695864,0.013720590654800769,4,6,1303,0.11325881899286386,1.8507008546549244,0.60179238805413,1302,COMPLETE
